TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
        Non-Durable Goods,201.0,195.0,197.0,196.0,228.0,254.0,249.0,250.0,276.0,295.0,272.0,264.0,270.0,278.0,286.0,273.0
Service-Providing,12892.0,12855.0,13139.0,13491.0,13888.0,14034.0,14286.0,14683.0,14652.0,14763.0,13928.0,14310.0,14857.0,14946.0,15457.0,15777.0
    Private Service Providing,8781.0,8938.0,9192.0,9476.0,9824.0,9853.0,9967.0,10303.0,10322.0,10444.0,10005.0,10359.0,10692.0,10552.0,10950.0,11214.0
"      Trade, Transportation, and Utilities",2631.0,2672.0,2688.0,2777.0,2852.0,2865.0,2860.0,2883.0,2878.0,2940.0,2928.0,3200.0,3070.0,2910.0,2934.0,2989.0
        Wholesale Trade,145.0,173.0,168.0,167.0,150.0,147.0,123.0,100.0,92.0,94.0,104.0,112.0,114.0,85.0,80.0,79.0
        Retail Trade,1956.0,1937.0,1932.0,2029.0,2140.0,2190.0,2225.0,2237.0,2248.0,2278.0,2284.0,2312.0,2298.0,2206.0,2230.0,2191.0
"        Transportation, Warehousing, and Utilities",530.0,562.0,588.0,581.0,562.0,528.0,512.0,546.0,540.0,569.0,542.0,775.0,661.0,622.0,625.0,720.0
      Information,128.0,140.0,153.0,146.0,138.0,128.0,122.0,115.0,102.0,97.0,90.0,85.0,88.0,85.0,72.0,60.0
      Financial Activities,354.0,362.0,365.0,388.0,392.0,378.0,381.0,387.0,372.0,355.0,327.0,342.0,332.0,318.0,341.0,353.0
      Professional and Business Services,590.0,579.0,592.0,593.0,595.0,527.0,568.0,622.0,626.0,638.0,668.0,714.0,732.0,726.0,735.0,740.0
      Private Education and Health Services,3582.0,3579.0,3757.0,4028.0,4255.0,4353.0,4401.0,4594.0,4627.0,4693.0,4448.0,4337.0,4699.0,4767.0,5238.0,5523.0
      Leisure and Hospitality,1128.0,1110.0,1109.0,1025.0,1046.0,1074.0,1122.0,1162.0,1173.0,1191.0,1025.0,1152.0,1227.0,1171.0,1158.0,1183.0
      Other Services,367.0,497.0,528.0,520.0,546.0,528.0,518.0,549.0,547.0,536.0,523.0,536.0,546.0,582.0,478.0,370.0
      Government,4111.0,3917.0,3947.0,4015.0,4064.0,4181.0,4321.0,4380.0,4329.0,4322.0,3922.0,3952.0,4164.0,4393.0,4507.0,4560.0
        Federal Government,189.0,144.0,149.0,149.0,143.0,145.0,152.0,156.0,146.0,162.0,182.0,171.0,157.0,158.0,163.0,150.0
        Total State and Local Government,3922.0,3772.0,3798.0,3866.0,3921.0,4036.0,4169.0,4227.0,4184.0,4159.0,3739.0,3781.0,4008.0,4234.0,4344.0,4410.0
          State Government,178.0,176.0,170.0,171.0,188.0,204.0,201.0,202.0,198.0,196.0,203.0,197.0,203.0,193.0,184.0,170.0
          Local Government,3744.0,3597.0,3628.0,3695.0,3733.0,3832.0,3969.0,4024.0,3987.0,3964.0,3537.0,3585.0,3807.0,4042.0,4162.0,4240.0
               Special Districts plus Tribes,,,,,,,,,,,,,,,,1339.0
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,847628.2866126982,854634.2124889824,871767.8638170636,889882.4819268852,909438.8626888115,923702.5294644703,921684.3762298308,932291.4631764017,938365.6236436097,940131.1112866282,888118.8912033328,911473.8280935917,940901.0172775715,933139.6505750787,929806.3224365639,927099.3655918015
  Civilian Unemployment per mil,152371.7133873018,145399.68811444845,128300.09174000204,110048.99441532188,90526.96329710889,76228.54779791852,78276.2691853601,67630.39656182849,61673.83498401926,59947.87141615986,111961.22416279443,88526.1719064083,59179.71903762312,66900.14725196005,70232.18204920874,72825.55651488419
Total Wage and Salary per mil,488927.54398876027,495898.02698488033,506234.92236077605,522013.22506595403,536805.4131638303,548314.8390654076,642739.0791027155,654893.5338933386,662194.6888687211,672419.2401863992,641924.371094376,660890.8900860336,685209.1070563539,680065.2684363434,681606.4071464327,670971.1325500206
  Total Farm per mil,35391.71740148525,38917.892738490744,38123.06751384594,37482.440812690584,36497.84703711298,36356.74408987525,42660.36993309721,40437.58546591131,38590.537821094586,40597.10923307796,36813.010735459065,36503.98005949988,35645.083158404654,36574.203048513555,35462.6313965577,29167.76155261083
  Total Nonfarm per mil,453535.826587275,456946.23364295886,468145.83262546296,484530.78425326344,500341.74014079693,511958.09497553244,600078.7091696182,614455.9484274272,623604.1510476265,631782.6396019271,605111.3603589169,624386.9100265336,649564.0238979494,643451.2675607912,646143.7757498749,641803.3709974098
    Total Private per mil,316016.5919582525,324157.5700047461,334035.5407563453,346969.54123411106,361458.5469209213,367875.1119994486,430066.90279417555,443367.8452822817,452827.2106696129,461140.51022826,448005.1273834321,465546.35362225614,481390.27934765053,468699.00903410674,472681.0673443456,470625.7742407748
    Goods Producing per mil,22278.71813741888,21153.976540782427,21677.822703951617,22304.450611573648,25698.85858792974,28327.245158177684,37859.110586383315,40828.2867747607,45614.173539044314,48771.81897164521,47187.95064893447,49127.603119723404,49895.042790247055,48712.54029529987,51018.443648685075,49776.64326738992
"      Mining, Logging and Construction per mil",12778.483976717736,11627.906976744185,12299.955828887907,12916.709493952787,15275.784293623128,17058.377558756634,24675.324675324675,27974.213713615944,31487.984847886994,34081.03625306058,33247.87694279763,35498.91452922731,35725.81947359923,35101.68344808373,37618.88259982288,37163.557190585234
      Manufacturing per mil,9466.782631966282,9526.06956403824,9377.866875063708,9387.741117620859,10457.248308386303,11268.86759942105,13262.495080676897,12932.213322914633,14126.188691157322,14690.78271858463,13940.073706136836,13749.29645412881,14088.487001453255,13770.048155370716,13553.578991952561,12613.086076804684
        Durable Goods per mil,2743.0253562587814,2915.451895043732,2684.2445040943226,2672.4226539212664,2665.5730982161163,2481.2185540009646,3463.2034632034633,3086.5403399101388,3235.6074655723473,3159.3081115235764,3044.3839128344816,3135.80445445043,3148.7162925884063,2746.0500656664144,2618.3050325362906,2364.9536394008787
        Non-Durable Goods per mil,6723.7572757074995,6610.617668994509,6693.622370969386,6715.318463699592,7791.675210170187,8753.187676614516,9799.291617473435,9767.532721234616,10890.581225584974,11649.948661243187,10895.689793302356,10613.49199967838,10899.40255126756,11063.795916742945,11012.282930961457,10248.132437403807
Service-Providing per mil,431257.10844985617,435792.2571021764,446434.0321429785,462226.3336416898,474608.7075387875,483630.84981735476,562219.5985832349,573666.7317835514,578147.812019098,583010.8206302819,557923.4097099823,575299.5095280212,599749.7174228969,594818.3229195686,595163.8365869623,592251.9614099629
    Private Service Providing per mil,293737.8738208336,303003.59346396365,312323.7402738609,324665.0906225375,335725.5143189119,339547.86684127094,392247.1467926014,402539.558507521,407291.9543858264,412447.6739594029,400777.11905143404,416458.95312374365,431616.34103019536,419946.6709117682,421624.119209888,420961.7478133564
"      Trade, Transportation, and Utilities per mil",88010.97210142504,90582.41236694013,91332.26869627263,95145.09884537636,97464.28815528672,98731.82162795505,112554.11255411257,112639.18734127759,113561.9303160636,116104.57309849143,117288.89601025477,128648.38787488943,123930.24382367189,115811.67668245314,112972.1612567864,112203.91155824169
        Wholesale Trade per mil,4850.471666555161,5864.804393518204,5708.266793517039,5721.725425703224,5126.10211195407,5065.821214418636,4840.613931523022,3907.0130884938467,3630.193741861658,3712.1870310402023,4165.999038615607,4502.69357562113,4601.969966090747,3382.8152982847137,3080.3588618074004,2965.576785915387
        Retail Trade per mil,65431.190205392384,65665.46884534546,65645.06812544596,69517.25083084936,73132.39013054474,75470.39768419601,87563.95120031484,87399.88278960735,88702.99490983703,89961.29847563383,91491.7481172889,92948.46023960762,92766.02615856612,87794.00644724799,85865.0032728813,82247.83212583055
"        Transportation, Warehousing, and Utilities per mil",17729.310229477487,19052.13912807648,19978.93377730964,19906.12258882379,19205.795912787915,18195.602729340408,20149.547422274696,21332.291463176403,21307.658919622772,22470.578943211436,21711.26422047749,31157.031438449787,26683.352171806877,24754.248418036375,24065.303607870315,27028.0415931529
      Information per mil,4281.795678062488,4746.084480303749,5198.600115524447,5002.227018878268,4716.013942997744,4411.055207112827,4801.259346713892,4493.065051767923,4024.7800181509688,3830.661085222336,3605.1914757250443,3417.222802926751,3552.397868561279,3382.8152982847137,2772.3229756266605,2252.3367994294076
      Financial Activities per mil,11841.841172141567,12272.018441928265,12401.889164486425,13293.589611813479,13396.21351923997,13026.397408505065,14994.09681227863,15120.140652471186,14678.609477962356,14019.42974488587,13098.862361800993,13749.29645412881,13402.22832229937,12655.708998288694,13130.029648454045,13251.24816997635
      Professional and Business Services per mil,19736.40195356928,19628.44938639908,20114.844891440996,20317.26453558091,20333.53837741781,18161.14136053484,22353.40417158599,24301.621410431726,24701.100895710846,25195.48218940052,26758.53228649255,28704.671544584708,29549.491361214274,28893.222430055317,28300.79704285549,27778.820526296033
      Private Education and Health Services per mil,119823.37592827991,121330.25967862229,127654.51394787808,138006.64679480589,145410.42990909712,150010.33841064168,173199.5277449823,179488.1812854073,182575.07003906404,185332.91209225182,178176.5742669444,174358.7681916861,189689.97254965283,189716.24149321447,201686.49647683956,207327.602387477
      Leisure and Hospitality per mil,37733.32441292567,37629.669808122584,37681.35639291903,35118.37461883716,35746.01872735972,37011.51009718106,44155.844155844155,45399.492088298495,46284.970208736144,47034.19951030724,41059.1251402019,46313.4196349602,49531.729371871465,46603.255462251764,44588.194524662125,44408.5738954165
      Other Services per mil,12276.711045694787,16848.59990507831,17940.267065339267,17816.151026141775,18659.011687512815,18195.602729340408,20385.674931129473,21449.50185583122,21583.86931302529,21167.36434720796,20950.168242268865,21548.604969043983,22041.014048118843,23162.335336490625,18405.14419929922,13889.410263148016
      Government per mil,137519.23462902254,132788.66363821275,134110.29186911762,137561.24301915237,138883.1932198756,144082.98297608382,170051.16096025184,171127.17327603046,170816.39900564257,170681.62072506122,157106.23297548472,158880.75902548846,168093.00823510415,174831.85418076173,173539.71737707444,171177.59675663503
        Federal Government per mil,6322.338930889141,4881.686894026713,5062.689001393089,5105.012505567547,4886.884013396213,4996.898476807499,5981.8968909878,6094.940418050401,5760.959633823935,6397.598925835242,7290.498317577311,6874.648227064405,6337.8007427740995,6288.056672105703,6276.231180932579,5630.84199857352
        Total State and Local Government per mil,131196.8956981334,127873.0761407553,129047.60286772452,132456.23051358483,133996.3092064794,139086.0844992763,164069.26406926406,165149.44325063488,165094.89799944757,164244.53044783193,149775.67697484378,152006.11079842405,161795.57564992734,168503.9996816174,167263.48619614184,165546.7547580615
          State Government per mil,5954.372114805647,5966.506203810428,5776.22235058272,5858.772741288931,6424.714646982435,7030.119236336068,7910.271546635183,7892.166438757569,7812.8082705283505,7740.3048732327625,8131.709661913155,7919.916378547881,8194.735992249314,7680.980618458232,7084.8253821570215,6381.620931716656
          Local Government per mil,125242.52358332777,121940.47054037561,123271.38051714179,126597.4577722959,127571.59455949695,132055.96526294024,156198.34710743802,157218.20668099239,157321.54835654816,156543.7169259932,141684.02499599423,144126.39704108707,153681.5759728726,160862.8168901978,160255.66978553002,159165.13382634483
               Special Districts plus Tribes per mil,,,,,,,,,,,,,,,,50264.649573932955
