TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,847160.4292070138,839988.9073765946,855398.279211768,876610.3635843114,895424.8366013073,914372.1633888049,916853.2139430764,913719.0082644628,919624.9162759545,923869.6808510638,908034.5285524568,924121.9350563287,941567.0650730412,933768.352365416,930172.9660474055,926936.3436814048
  Civilian Unemployment per mil,153362.99398063336,160011.09262340542,144601.72078823202,123962.21013455483,103980.9863339275,85930.4084720121,82826.9907259354,86280.99173553719,80040.18754186203,75797.87234042554,92961.48738379814,76209.41020543406,58100.929614873836,66557.911908646,69827.03395259449,74004.3900909376
"Total, All Industries per mil",726249.6728605076,721297.8369384359,737441.0213710797,767248.7832808475,787878.7878787878,809682.2995461422,873041.2535976975,874710.7438016529,885800.4018754186,902925.5319148937,902722.4435590969,923127.8992710405,941899.0703851262,934094.616639478,933696.3484945548,918469.739730323
  Total Farm per mil,83747.71002355404,91514.14309484193,99916.73605328891,110793.01460062983,110814.02257872847,116792.7382753404,123440.99776143268,119669.42148760331,120897.52176825184,126994.68085106382,120185.9229747676,114976.80583167661,114541.8326693227,109298.53181076673,101857.78347213325,86547.50705550329
  Total Nonfarm per mil,642501.9628369537,629783.693843594,637524.2853177907,656455.7686802176,676767.6767676768,692889.5612708018,749600.2558362648,755041.3223140496,764902.8801071668,775930.8510638297,782536.5205843293,808151.0934393639,827357.2377158036,824796.0848287112,832158.8725176168,831922.2326748197
    Total Private per mil,291808.4271133211,278979.4786466999,292811.54593394394,314342.9716576009,314319.6672608437,321331.31618759455,352414.4547489607,348760.3305785124,360348.2920294709,376329.78723404254,378154.0504648074,402915.83830351225,427954.84727755643,434584.01305057097,443946.18834080716,448416.43148322357
    Goods Producing per mil,32190.526040303583,23571.824736550196,17207.88232028865,25765.81734898368,27035.056446821152,28441.75491679274,30380.556443875917,27438.016528925622,33154.72203616879,33909.574468085106,33864.54183266932,37442.01457919152,35192.5630810093,37520.391517128875,31390.13452914798,29476.32486672938
"      Mining, Logging and Construction per mil",29311.698508243917,19966.722129783695,17207.88232028865,20612.653879186943,22578.728461081402,24508.320726172467,26543.01247201791,20826.446280991735,24447.42129939719,29255.31914893617,30212.483399734396,33797.216699801196,31208.499335989374,35236.541598694945,29468.28955797566,26340.545625587958
Service-Providing per mil,610311.4367966502,606211.8691070438,620038.8565084651,630689.9513312338,650029.7088532383,664447.8063540091,719539.494723377,727272.7272727273,731748.158070998,742353.7234042553,749003.984063745,771040.424121935,792828.6852589641,787275.6933115824,800448.4304932735,802445.9078080903
    Private Service Providing per mil,259617.9010730175,255407.65391014973,275326.1171246184,288577.15430861723,287581.6993464052,292889.5612708018,322993.2842980492,321322.31404958677,327528.4661754856,341755.31914893613,344953.51925630815,365805.16898608353,393094.2895086321,397063.6215334421,412556.0538116592,419253.6845406084
"      Trade, Transportation, and Utilities per mil",105993.19549856058,105934.55352190793,115459.33943935609,113655.88319496135,111408.19964349376,112556.73222390318,111288.77518388232,106776.85950413224,101138.64701942398,103723.40425531914,107569.72111553785,113320.07952286283,113545.81673306772,110277.32463295269,105381.16591928252,102226.4032612104
      Private Education and Health Services per mil,54436.01151531013,52967.276760953966,54676.65834027199,71858.00171772116,72489.60190136661,76248.10892586989,100735.52926127278,101818.18181818182,97789.68519758875,104720.74468085106,93957.50332005312,95096.0901259112,107237.71580345285,110277.32463295269,113709.1607943626,107557.22797115083
      Leisure and Hospitality per mil,39780.16226118817,40765.39101497504,46350.26366916459,45805.89750930433,43077.83719548425,42662.63237518911,49568.27630316597,51900.82644628099,51574.01205626256,56183.51063829787,63081.00929614874,68919.81444665341,73705.17928286853,70473.08319738989,65342.72901985906,63029.16274694262
      Private Service Providing - Residual per mil,59408.531797958654,56017.748197448695,59117.402164862615,57257.371886630404,60308.972073677956,61422.08774583964,61720.49888071634,61157.02479338843,77026.1219022103,78125.0,80345.28552456839,88137.83962889331,98605.57768924303,107014.6818923328,128443.3055733504,147695.20225776106
      Government per mil,350693.53572363255,350804.2151968941,344712.73938384675,342399.08388204983,362448.00950683304,371558.24508320726,397505.5964182923,406280.9917355372,404554.5880776959,400265.95744680846,404382.4701195219,405897.9456593771,399070.385126162,390212.07177814026,388212.68417680974,382878.6453433678
        Federal Government per mil,75634.65061502224,72102.05213533001,70496.80821537608,68995.13312338963,69815.80510992276,71709.53101361573,76431.08410617206,73057.85123966941,70663.09444072338,68151.59574468086,69721.1155378486,63618.2902584493,56440.90305444887,56117.45513866231,55733.50416399744,47977.422389463776
        Total State and Local Government per mil,275058.8851086103,278702.16306156403,274215.9311684707,273403.9507586602,292632.20439691027,299848.71406959154,320434.9216501439,332892.56198347104,334226.3898191561,332114.3617021277,334993.35989375826,341948.31013916497,342629.48207171314,333442.088091354,332799.4875080077,335528.3788021323
          State Government per mil,21460.350693535725,23849.140321686078,21648.62614487927,21757.801316919555,20796.1972667855,22692.8895612708,23025.263831148066,24462.80991735537,26456.798392498327,26263.297872340427,26228.419654714475,23194.168323392976,20916.33466135458,22512.234910277326,21780.909673286355,20696.142991533397
          Local Government per mil,253598.53441507457,254853.02273987798,252567.3050235914,251646.14944174062,271836.0071301248,277155.8245083207,297089.8624880077,308760.3305785124,308104.4876088412,306183.5106382978,309096.9455511288,318754.14181577205,322045.15272244357,312234.9102773246,310698.27033952595,315459.3916588272
