TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
        Federal Government,825.0,700.0,700.0,700.0,667.0,667.0,667.0,700.0,700.0,708.0,742.0,700.0,658.0,675.0,,
          State Government,783.0,817.0,742.0,767.0,850.0,867.0,850.0,758.0,767.0,817.0,867.0,883.0,883.0,883.0,,
          Local Government,17333.0,16700.0,17242.0,17550.0,17675.0,18175.0,18675.0,18933.0,19142.0,19067.0,17933.0,18275.0,18717.0,19225.0,,
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,883043.2276657061,891392.2588099365,905944.3966752652,921967.49358426,936531.2095297319,949173.869916395,954653.6039188243,960840.3593642018,967779.8415526325,968345.9676001641,925088.0651520537,948851.8514619021,968709.0163934426,963522.7171337649,958814.7960030866,957666.0525037163
  Civilian Unemployment per mil,116956.77233429396,108705.95031773542,94153.0524505589,77941.26033646992,63514.4309488085,50729.77185772992,45391.18264520644,38977.19419488597,32263.47966880926,31654.03239983592,74825.75488263366,51237.642005074806,31378.073770491803,36516.93747459626,41107.06297189854,42333.947496283756
"Total, All Industries per mil",734005.7636887608,742056.614673599,766265.4055603325,806626.7465069861,835220.7572896401,863069.292900666,895636.1091672498,911402.9025570145,930231.172867919,936606.7005119409,890389.8566180827,928626.3279251204,947274.5901639344,934817.7375063199,,
  Total Farm per mil,1971.1815561959654,2021.952628538417,1908.8564058469476,2378.1009409751923,1854.1444407044607,1700.4392801473714,1634.7095871238628,1752.5915687629579,2030.682255086182,2040.3053532711476,2062.9329196695,1753.019088430074,1752.0491803278687,1819.155158568865,,
  Total Nonfarm per mil,732034.5821325649,740034.6620450607,764356.5491544855,804248.6455660108,833366.6128489358,861368.8536205186,894006.9979006298,909650.3109882516,928200.4906128328,934561.0679906455,888326.9236984133,926873.3088366902,945527.6639344263,932998.5823477511,,
    Goods Producing per mil,86985.59077809798,84968.2264586944,85365.43422184007,91200.45623039636,95799.36445633633,106464.50333002693,115370.188943317,114399.44713199724,117958.27083344615,122700.6611015518,123614.38774520892,130860.50600659093,137382.17213114753,130116.68368510276,,
      Mining and Logging per mil,576.3688760806916,0.0,0.0,0.0,427.87948631641405,566.8130933824572,559.8320503848845,552.8680027643401,541.5152680229819,532.7168024206651,538.6247832035248,879.1417050084756,983.6065573770492,991.3652090293543,,
      Construction per mil,48270.89337175793,46891.96995956095,49486.959014044136,56076.41859138865,60091.39505827719,69054.83916678476,77771.86843946816,81592.2598479613,87048.57933469434,91984.21027397625,94167.77084747223,98879.75236631255,100794.05737704918,93520.43699378414,,
      Manufacturing per mil,38138.328530259365,38082.03350664356,35872.74290627687,35118.33475905332,35274.38485192518,36842.85106985971,37044.08677396781,32066.344160331722,30416.91260485089,30141.116680961233,28907.992114533175,31101.611935269902,35819.67213114754,35193.46492054208,,
        Durable Goods per mil,34391.93083573487,34373.19468515309,31860.131842934938,31126.31879098945,30904.309031680197,30987.67181521893,31305.808257522745,26305.4595715273,23826.671793011203,23130.56356110528,21814.30371974275,23557.83910127502,27663.93442622951,27138.622597178575,,
        Nondurable Goods per mil,3746.3976945244954,3708.838821490468,4012.6110633419316,3992.0159680638717,4375.780880062527,5855.179254640781,5693.491952414276,5760.8845888044225,6590.24081183969,7015.88028788016,7093.688394790421,7543.7728339948835,8155.737704918033,7970.5762805960085,,
    Service Providing per mil,645054.7550432276,655066.4355863662,678991.1149326455,713048.1893356146,737567.2483925994,754898.6821595579,778631.210636809,795256.392536282,810242.2197793867,811860.4068890937,764712.5359532043,796007.5385085123,808145.4918032787,802881.8986626484,,
"      Trade, Transportation & Utilities per mil",149423.63112391933,151600.2310803004,157879.04843794784,163341.88765326492,168915.41107808516,168723.25350715604,169393.98180545837,168486.52384243262,171974.4188187386,172243.32372667367,165939.52320934192,169553.2696701376,163125.0,156883.5443288953,,
        Wholesale Trade per mil,21371.757925072045,21184.286539572502,23599.885353969617,23142.286854861704,22631.972296229527,23806.1499220632,23277.8166550035,23955.77055977885,25451.21759708015,27743.891070068243,25137.6186321085,23863.16975331389,22628.073770491803,21686.113947517126,,
        Retail Trade per mil,110951.00864553315,114338.53264009242,117701.34709085697,122469.34702024523,127890.32593006738,125594.44523168486,125402.37928621414,124992.39806496199,125945.62103678513,121683.17200892833,116973.14416830947,120726.68695185252,116162.90983606558,111280.74471354503,,
"        Transportation, Warehousing, and Utilities per mil",17100.86455331412,16077.411900635472,16577.815993121236,17724.550898203594,18398.8179116058,19316.990222474138,20713.78586424073,19532.826537664132,20577.580184873314,22816.260647677085,23834.14665675597,24963.412964971205,24334.016393442624,23916.685667833175,,
      Information per mil,14167.146974063402,13477.758521086078,13184.293493837777,12591.958939264328,12551.131598614813,14499.078928723253,14090.972708187544,13086.385625431927,13223.802845121218,12960.999802894783,10680.929450925896,9912.717548089577,9902.66393442623,9750.0768308037,,
      Financial Activities per mil,55763.688760806916,56135.18197573657,59140.15477214101,63632.73453093812,64467.175938339715,65279.86396485759,68064.38068579427,67864.54733932273,72877.1247705329,69828.51846130079,68092.94509258961,68567.78866907422,67966.18852459016,63734.86928849718,,
        Finance & Insurance per mil,40443.804034582136,41403.81282495667,43995.414158784755,47094.382663244935,46924.116999366735,47232.53507156015,48610.216934919525,47314.44367657222,46164.17659895921,41594.527933005535,40892.3935408116,38782.25713052359,36029.7131147541,32591.131246840025,,
        Real Estate & Rental & Leasing per mil,15319.884726224784,14731.369150779896,15144.740613356262,16538.351867693185,17543.058938972976,18041.660762363612,19454.163750874737,20594.333102971665,26848.326988579443,28233.990528295253,27200.551551778,29785.53153855063,31931.35245901639,31143.738041657165,,
      Professional and Business Services per mil,74881.84438040346,76834.19988445984,79919.74777873316,87065.86826347305,95702.37843943793,105285.53209579142,110801.95941217635,113846.5791292329,120351.76831810773,121416.813607718,119531.61188852623,126169.99547268343,125768.44262295081,120242.68620317038,,
"        Professional, Scientific & Technical Services per mil",37365.99423631124,38850.375505488155,40269.41817139582,42201.31166238951,43312.8141348562,44591.186056397906,47820.85374387684,48143.74568071873,49591.96824554468,51449.788777787835,49596.57003738056,53127.53345476368,54856.55737704918,53038.03868307046,,
        Management of Companies & Enterprises per mil,6674.3515850144095,7030.6181398035815,7451.991974777874,8269.175933846593,8842.842717205891,8927.306220773698,8582.22533240028,9769.177608845886,9611.896007407928,10430.594991396623,10368.527076667851,10528.643173754197,9820.696721311477,12104.569202248416,,
        Administrative and Support and Waste and Remediatio per mil,30835.734870317003,30953.20623916811,32198.33763255947,36595.380667236954,43546.72158737585,51767.039818619814,54398.88033589923,55839.66827919834,61147.90406515512,59664.2818711145,59561.12852664576,62340.096231798605,61050.20491803279,55144.68975225784,,
      Private Education and Health Services per mil,111285.30259365994,117706.52801848642,123720.26368586987,131120.61591103507,137680.20857698692,139719.4275187757,146720.78376487055,155217.69177608847,155913.07596917695,159724.47886978803,158221.03006603543,162141.10487581466,166921.10655737706,177494.02702461559,,
      Leisure and Hospitality per mil,104512.9682997118,106683.997689197,108913.72886213816,115386.37011690903,116052.3268086466,115958.62264418308,123582.92512246326,128447.82308223912,128203.73970444096,128874.84884160732,104493.2079414838,117394.37138735931,132213.11475409835,131975.4934520328,,
"         Arts, Entertainment, and Recreation per mil",20219.020172910663,20843.443096476025,23215.821152192606,24664.955802680353,23345.10477342355,23001.27532946011,24727.78166550035,26493.434692467174,26220.169277672787,27301.73612405909,20693.96417067942,25442.46622937702,32187.5,33210.73450248337,,
        Accommodation & Food Services per mil,84293.94812680114,85834.77758521086,85697.90770994553,90721.41431422869,92707.22203522304,92957.34731472297,98855.1434569629,102004.14651002074,101896.9279838845,101573.11271754823,83799.24377080439,91951.9051579823,100025.61475409837,98764.75894954942,,
      Other Services per mil,25838.616714697408,27394.569612940497,29137.288621381485,31462.78870829769,32707.107934026688,33725.3790562562,32934.91952414276,35565.99861782999,36102.82291909221,37114.379624647736,32495.233170668653,37729.392813148166,38463.11475409836,39778.52901230284,,
      Government per mil,109175.7925072046,105239.74581166956,107096.58928059616,108451.66809238665,109491.50801846157,111707.52444381465,113041.28761371589,112740.84312370422,111595.46643417611,109697.04395446337,105258.0551336328,104538.89807220544,103780.73770491804,103017.71569628536,,
        Federal Government per mil,4755.043227665707,4043.905257076834,4012.6110633419316,3992.0159680638717,3805.274898307309,3780.643332860989,3734.07977606718,3870.07601935038,3790.606876160873,3771.6349611383093,3996.5958913701534,3685.025110813969,3370.9016393442625,3345.857580474071,,
          State Government per mil,4512.968299711815,4719.815135759676,4253.367727142448,4374.108925007129,4849.300844919359,4914.269519625904,4758.572428271519,4190.739460953698,4153.422105736272,4352.296275776834,4669.87687037456,4648.395961212478,4523.565573770491,4376.8773978645995,,
          Local Government per mil,99902.01729106628,96476.02541883304,98836.34279163084,100085.54319931567,100836.93227523491,103018.27972226159,104548.63540937718,104674.49896337249,103656.8526049592,101573.11271754823,96591.5823718881,96205.47700017899,95886.27049180327,95294.98071794669,,
