TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
        Wholesale Trade,1617.0,1692.0,1717.0,1767.0,1767.0,1767.0,1800.0,1775.0,1767.0,1783.0,1725.0,1725.0,1792.0,1717.0,1767.0,1700.0
        Retail Trade,6917.0,6992.0,7317.0,7467.0,8058.0,8233.0,8025.0,8017.0,8017.0,7933.0,7192.0,7917.0,8108.0,8208.0,8200.0,7957.0
"        Transportation, Warehousing, and Utilities",1825.0,1767.0,1825.0,1975.0,2075.0,2067.0,2150.0,2158.0,2208.0,2192.0,2150.0,2350.0,2492.0,2508.0,2600.0,2629.0
      Information,400.0,400.0,392.0,308.0,300.0,300.0,300.0,300.0,300.0,300.0,225.0,200.0,200.0,200.0,200.0,200.0
      Financial Activities,1317.0,1300.0,1400.0,1500.0,1500.0,1458.0,1350.0,1300.0,1300.0,1225.0,1142.0,1125.0,1142.0,1200.0,1183.0,1100.0
      Professional and Business Services,2750.0,2825.0,2992.0,2950.0,2925.0,2792.0,2883.0,3133.0,3100.0,2950.0,2742.0,2858.0,3092.0,3192.0,3325.0,3300.0
      Private Education and Health Services,7700.0,7458.0,7600.0,8317.0,8358.0,8333.0,8508.0,8833.0,9158.0,9733.0,9717.0,9533.0,10242.0,11167.0,11633.0,12114.0
      Leisure and Hospitality,3325.0,3358.0,3625.0,3875.0,4033.0,4158.0,4367.0,4383.0,4258.0,4375.0,3408.0,4000.0,4367.0,4408.0,4392.0,4300.0
      Other Services,700.0,817.0,800.0,800.0,800.0,825.0,850.0,908.0,900.0,925.0,833.0,942.0,1108.0,1117.0,1050.0,1043.0
Government,18442.0,18142.0,17917.0,17708.0,17892.0,17900.0,18242.0,18483.0,18875.0,19142.0,18317.0,18267.0,19392.0,19850.0,20417.0,20671.0
        Federal Government,2508.0,2500.0,2500.0,2408.0,2342.0,2192.0,2108.0,2100.0,2100.0,2108.0,2283.0,2375.0,2500.0,2517.0,2600.0,2614.0
Total State and Local Government,15933.0,15642.0,15417.0,15300.0,15550.0,15708.0,16133.0,16383.0,16775.0,17033.0,16033.0,15892.0,16892.0,17333.0,17817.0,18057.0
          State Government,2950.0,2875.0,2758.0,2650.0,2600.0,2642.0,2700.0,2692.0,2725.0,2800.0,2767.0,2717.0,2700.0,2700.0,2692.0,2600.0
Local Government,12983.0,12767.0,12658.0,12650.0,12950.0,13067.0,13433.0,13692.0,14050.0,14233.0,13267.0,13175.0,14192.0,14633.0,15125.0,15457.0
            County Government,2108.0,2108.0,2125.0,2175.0,2225.0,2300.0,2417.0,2425.0,2467.0,2508.0,2483.0,2325.0,2350.0,2408.0,2433.0,2514.0
            City Government,1733.0,1700.0,1758.0,1825.0,1900.0,1725.0,1683.0,1725.0,1858.0,1925.0,1808.0,1867.0,1950.0,1867.0,1867.0,1829.0
            Special Districts plus Tribes,3167.0,3100.0,3025.0,2908.0,2875.0,2917.0,2950.0,3000.0,3083.0,3100.0,2858.0,3050.0,3108.0,3275.0,3475.0,3571.0
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,709412.8682249151,711154.9004004194,725406.6761884298,747442.4552429667,757318.9718982107,754422.9917402746,754970.9719373048,800701.754385965,809946.7140319716,789232.9733303946,768578.6823873661,820133.2677429452,846200.1526986551,824156.603747184,816328.7671232878,821973.4671338778
  Civilian Unemployment per mil,290485.7273234295,288845.09959958063,274492.2077429629,252340.1534526854,242693.79004058297,245577.00825972538,245029.02806269526,199185.9649122807,189939.60923623445,210767.0266696055,231765.56650458282,180254.31182266743,153682.38679743937,175843.396252816,183794.5205479452,178217.41679505885
Total Wage and Salary per mil,735182.2745018506,746422.1203279145,765638.2319855404,795716.1125319693,817083.1312693025,843560.2803616561,851842.9132644169,910287.7192982456,923026.6429840141,901958.8935419881,884404.0908243327,949689.1910021913,972103.1303224291,936907.9435263828,928082.191780822,919556.0585195587
  Total Farm per mil,115246.15930639354,130951.02757462073,135874.7171909956,141304.34782608695,156971.847163021,172620.44347169026,161672.23093734498,172743.8596491228,166607.46003552398,154975.75490412166,148572.0842836037,159503.89815601567,145841.89816174313,126170.12047518436,118835.61643835616,111994.32802039731
Total Nonfarm per mil,619936.1151954571,615471.0927532937,629763.5147945449,654411.7647058824,660111.2841062814,670939.8368899658,690170.6823270719,737543.8596491228,756419.1829484903,746983.1386378665,735832.006540729,790185.2928461757,826261.2321606859,810751.8155232485,809246.5753424658,807561.7304991615
    Total Private per mil,386186.1785732394,386309.9523791479,403301.4396400268,427966.7519181586,431774.6752086577,437739.3887282107,445584.11434241047,478133.3333333334,488213.14387211367,483290.1697156711,473098.38346457825,517895.7410968502,541536.9706936043,533001.2453300125,529561.6438356164,525707.9748578597
    Goods Producing per mil,49650.15464178878,50210.314903937244,53616.79537899567,57647.05882352941,51264.70813445979,47773.52197816515,40223.64345762439,45726.31578947369,47602.13143872113,50515.20828741459,55223.25975013268,60999.06086489871,63751.688494743634,61217.06521891222,59013.69863013699,57456.0626099287
"      Mining, Logging and Construction per mil",15743.041119505144,17052.559778695668,19490.12222404793,25895.14066496164,29888.4606549427,33221.29289455171,24362.12005416784,25024.56140350877,25335.70159857904,26407.868635662333,26779.695052856547,29068.467420956127,30216.714629705762,28572.62792617572,28191.780821917808,27460.01663417095
      Manufacturing per mil,33907.11352228363,33157.75512524158,34126.67315494774,31751.918158567772,21376.247479517086,14552.229083613434,15861.523403456551,20701.754385964912,22266.429840142097,24107.33965175226,28443.56469727613,31930.593443942576,33520.291302049685,32644.437292736508,30821.917808219176,29996.04597575774
        Durable Goods per mil,7605.333874157075,7162.075107052181,7583.705145543941,7672.634271099744,7657.163276244927,7816.774798718048,8044.728691524878,9824.561403508773,9477.797513321493,8609.764161340094,9925.843051192678,10926.76236900556,11746.050390556175,11193.977640029663,10958.90410958904,10907.653082093724
        Non-Durable Goods per mil,26301.779648126554,25995.6800181894,26542.968009403794,24079.28388746803,13719.084203272161,6735.454284895385,7816.794711931673,10877.19298245614,12788.632326820605,15497.575490412168,18532.065349914657,20988.924168567297,21774.24091149351,21450.459652706846,19863.01369863014,19088.39289366402
Service-Providing per mil,570298.6361101252,565260.7778493564,576146.7194155491,596764.705882353,608846.5759718217,623166.3149118008,649947.0388694475,691817.5438596491,708817.0515097692,696467.9303504518,680608.7467905963,729201.1388876466,762509.5436659424,749534.7503043362,750232.8767123288,750092.0333228802
    Private Service Providing per mil,336536.0239314506,336099.63747521065,349697.283769607,370306.905370844,380522.72901299165,389965.86675004556,405360.47088478605,432392.98245614034,440611.0124333925,432788.7370509147,417875.1237144455,456896.68023195147,477799.96476184885,471784.18011110026,470547.94520547945,468251.91224793094
"      Trade, Transportation, and Utilities per mil",131293.41378086497,131999.44421286648,137239.78411719354,143324.8081841432,151867.07164552438,157208.36916021782,160559.37680168403,167719.29824561405,170401.42095914742,164040.1146131805,158741.77029992684,178763.62118569535,181946.32054971516,173968.40499811101,172150.68493150684,167514.2822082544
        Wholesale Trade per mil,20496.37479085332,21372.54158929857,21702.03622483158,22595.907928388748,22550.34584854131,23020.401782224653,24134.186074574638,24912.280701754386,25108.34813499112,24561.935199471016,24742.889108825682,25714.41348776888,26311.152874845833,24025.074509913666,24205.479452054795,23178.762799449167
        Retail Trade per mil,87676.82401257416,88319.62812788156,92483.28424990836,95485.93350383632,102835.70279996937,107259.1781964095,107598.24624914525,112519.29824561403,113918.29484902309,109282.01454705752,103159.91795401408,118017.97772908189,119046.22070828684,114850.21058670436,112328.76712328767,108490.24446777471
"        Transportation, Warehousing, and Utilities per mil",23132.89053389444,22319.90602144833,23067.10315102949,25255.754475703325,26481.022997013708,26928.78918158368,28826.94447796415,30287.719298245614,31374.777975133216,30196.164866651972,30838.96323708708,35031.229968844564,36588.94696658249,35093.119901492995,35616.438356164384,35845.2749410305
      Information per mil,5070.222582771384,5052.610304798716,4954.687361755375,3938.618925831202,3828.5816381224636,3908.387399359024,4022.364345762439,4210.526315789473,4262.877442273535,4132.686797443244,3227.333362020741,2981.3812739442183,2936.5125976390436,2798.494410007416,2739.72602739726,2726.913270523431
      Financial Activities per mil,16693.707853774784,16420.983490595827,17695.312006269196,19181.58567774936,19142.908190612317,18994.76276088486,18100.639555930975,18245.614035087718,18472.46891651865,16875.13775622658,16380.509775234159,16770.269665936226,16767.486932518943,16790.966460044496,16205.479452054795,14998.02298787887
      Professional and Business Services per mil,34857.78025655326,35684.060277640936,37817.409659112454,37723.78516624041,37328.67097169402,36374.05873003465,38654.92136277704,43971.929824561405,44049.73357015986,40638.08684152523,39330.43590515943,42603.938404662884,45398.48475949962,44663.97078371836,45547.94520547945,44994.068963636615
      Private Education and Health Services per mil,97601.78471834914,94205.91913297208,96060.26517688992,106355.49872122763,106664.28443809184,108561.97399619584,114074.25284582278,123971.9298245614,130131.43872113677,134078.135331717,139377.7701278024,142107.53842255118,150378.81012509545,156253.9353827641,159356.16438356164,165169.13679560422
      Leisure and Hospitality per mil,42146.225219287124,42416.66350878523,45818.21858766131,49552.42966751918,51468.899155159655,54170.24935511608,58552.21699314858,61515.78947368421,60504.4404973357,60268.34912938065,48883.342656740824,59627.625478884365,64118.752569448516,61678.81679656345,60164.38356164384,58628.63531625376
      Other Services per mil,8872.889519849921,10319.95654755138,10111.606860725255,10230.179028132994,10209.551034993236,10748.065348237316,11396.698979660243,12743.859649122807,12788.632326820605,12742.450958783336,11948.305291392344,14042.305800277269,16268.279790920302,15629.591279891418,14383.561643835616,14220.852705779693
Government per mil,233762.61217867464,229161.1403741458,226462.07515451798,226445.01278772377,228336.60889762372,233200.4481617551,244586.56798466138,259410.52631578947,268206.0390763766,263692.9689221953,262733.6230761507,272304.4586556952,284724.26146708167,277750.570193236,279684.9315068493,281840.1210749492
        Federal Government per mil,31790.29559397657,31578.814404991983,31598.771439766424,30792.838874680307,29888.4606549427,28557.283931316608,28263.813469557404,29473.684210526317,29840.14209591474,29039.012563367865,32746.675846637118,35403.90262808759,36706.40747048805,35219.05214994333,35616.438356164384,35640.756445741245
Total State and Local Government per mil,201959.64102824114,197582.3259691538,194863.3037147516,195652.1739130435,198448.14824268103,204643.16423043853,216309.34663395144,229936.84210526317,238365.8969804618,234640.18073616928,229972.6035256824,236900.55602760758,248017.85399659365,242531.51804329272,244068.49315068492,246199.36462920796
          State Government per mil,37392.891547938954,36315.63656574078,34859.76465235031,33887.468030690536,33181.04086372801,34419.86503035514,36201.27911186195,37782.45614035088,38721.13676731794,38571.743442803614,39689.028500939516,40502.06460653221,39642.920068127096,37779.674535100115,36876.71232876712,35449.87251680461
Local Government per mil,164566.7494803022,161266.68940341304,159990.89955382535,161764.70588235295,165267.107378953,170236.32715808123,180108.0675220895,192168.42105263157,199644.76021314386,196068.43729336566,190297.9187285741,196398.49142107536,208374.93392846658,204751.8435081926,207191.7808219178,210749.4921124034
            County Government per mil,26720.073011205193,26627.256306289237,26858.95572380146,27813.299232736572,28395.31381607494,29964.303395085855,32406.848745692718,34035.087719298244,35055.0621669627,34549.26162662552,35615.41661287778,34658.557309601536,34504.02302225876,33693.87269648929,33328.767123287675,34277.299810479526
            City Government per mil,21966.73933985702,21473.593795394543,22220.256076443748,23337.59590792839,24247.683708108936,22473.227546314392,22565.463979727283,24210.526315789473,26401.420959147425,26518.073616927486,25933.416526815552,27831.19419226928,28630.997826980678,26123.945317419228,25575.342465753427,24937.621858936775
            Special Districts plus Tribes per mil,40143.48729909243,39157.72986219005,38234.51344211737,37186.70076726343,36690.574032006945,38002.55347976758,39553.249399997316,42105.26315789473,43808.17051509769,42704.43024024686,40994.30554957901,45466.06442764933,45633.405767310745,45825.345963871434,47602.739726027394,48689.03644519586
